route,401,401_1,401_2,401_3,401_4,401_5,401_6,401_7,401_8,401_9,401_10,401_11,401_12,401_13,401_14,401_15,401_16,401_17,401_18,401_19,401_20,401_21,401_22,401_23,401_24,401_25,401_26,401_27,401_28,401_29,401_30,401_31,401_32,401_33,401_34,401_35,401_36,401_37,401_38,401_39,401_40,401_41,401_42,401_43,401_44,401_45,401_46,401_47,401_48,401_49,401_50,401_51,401_52,401_53,route_id,402,402_1,402_2,402_3,402_4,402_5,402_6,402_7,402_8,402_9,402_10,402_11,402_12,402_13,402_14,402_15,402_16,402_17,402_18,402_19,402_20,402_21,402_22,402_23,402_24,402_25,402_26,402_27,402_28,402_29,404,404_1,404_2,404_3,404_4,404_5,404_6,404_7,404_8,404_9,404_10,404_11,404_12,404_13,404_14,404_15,404_16,404_17,404_18,404_19,404_20,404_21,404_22,404_23,404_24,404_25,404_26,404_27,404_28,404_29,404_30,404_31,404_32,404_33,404_34,404_35,404_36,405,405_1,405_2,405_3,405_4,405_ssuo,405_5,405_so,405_6,405_ssuo_1,405_7,405_so_1,405_8,405_ssuo_2,405_9,405_10,405_11,405_12,405_13,405_14,405_15,405_16,405_17,405_18,405_19,405_20,405_21,405_22,405_23,405_24,405_25,405_26,405_27,405_28,405_ssuo_3,405_29,405_so_2,405_30,405_ssuo_4,405_31,405_so_3,405_32,405_ssuo_5,405_33,405_so_4,405_34,405_ssuo_6,405_35,405_so_5,405_36,405_ssuo_7,405_37,405_suo,405_38,405_suo_1,405_39,405_suo_2,405_40,405_suo_3,405_41,405_suo_4,405_42,405_suo_5,405_43,405_suo_6,405_44,407,407_1,407_2,407_3,407_4,407_5,407_6,407_7,407_8,407_9,407_10,407_11,407_12,407_13,407_14,407_15,407_16,407_17,407_18,407_19,407_20,407_21,407_22,407_23,407_24,407_25,407_26,407_27,407_28,407_29,409,409_1,409_2,409_3,409_so,409_4,409_5,409_6,409_7,409_8,409_9,409_10,409_11,409_12,409_13,409_14,409_15,409_16,409_17,409_18,409_19,409_20,409_21,409_22,409_23,409_24,409_25,409_26,409_suo,409_27,409_28,409_29,409_suo_1,409_30,409_31,409_32,409_suo_2,409_33,409_34,409_35,409_suo_3,409_36,409_37,409_38,409_suo_4,409_39,409_40,409_41,409_suo_5,409_42,409_43,409_44,409_suo_6,409_45,409_46,409_47,409_suo_7,409_48,409_49,409_50,409_suo_8,409_51,409_52,409_53,409_suo_9,409_54,409_55,409_56,409_suo_10,409_57,409_58,409_59,409_suo_11,409_60,409_61,409_62,409_suo_12,409_63,409_64,409_65,409_suo_13,409_66,409_67,409_fo,409_tho,409_so_1,409_suo_14,409_fo_1,409_68,409_69,409_70,409_suo_15,409_71,409_72,409_73,409_suo_16,409_74,409_75,409_76,409_77,409_78,409_79,409_80,409_81,409_82,409_83,409_84,409_85,409_86,409_87,409_88,409_89,409_90,409_91,409_92,409_93
Lwr Newcastle (Opp St Francis Home),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:23,07:24,06:53,07:57,08:27,08:44,09:14,09:44,10:14,10:47,11:17,11:49,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49,17:19,17:49,18:19,18:49,19:19,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Newcastle (Greenfields Entr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:23,07:24,06:53,07:57,08:27,08:44,09:14,09:44,10:14,10:47,11:17,11:49,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49,17:19,17:49,18:19,18:49,19:19,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hynes Rd (Clifton Pk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:24,07:25,06:54,07:58,08:28,08:45,09:15,09:45,10:15,10:48,11:18,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:47,20:17,20:47,21:17,21:47,22:17,22:47,23:17,23:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hynes Rd (Fairlands Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25,07:26,06:55,07:59,08:29,08:46,09:16,09:46,10:16,10:49,11:19,11:51,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:21,18:51,19:21,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hynes Rd (St Josephs School),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25,07:26,06:55,07:59,08:29,08:46,09:16,09:46,10:16,10:49,11:19,11:51,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:21,18:51,19:21,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hynes Rd (Ardilaun Road),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:26,07:27,06:56,08:00,08:30,08:47,09:17,09:47,10:17,10:50,11:20,11:52,12:22,12:52,13:22,13:52,14:22,14:52,15:22,15:52,16:22,16:52,17:22,17:52,18:22,18:52,19:22,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hynes Rd (Opp Ardilaun Rd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:27,07:28,06:57,08:01,08:31,08:47,09:17,09:47,10:17,10:50,11:20,11:52,12:22,12:52,13:22,13:52,14:22,14:52,15:22,15:52,16:22,16:52,17:22,17:52,18:22,18:52,19:22,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siobhain McKenna Rd (Corrib Pk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:28,07:28,06:58,08:02,08:32,08:48,09:18,09:48,10:18,10:51,11:21,11:53,12:23,12:53,13:23,13:53,14:23,14:53,15:23,15:53,16:23,16:53,17:23,17:53,18:23,18:53,19:23,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20,23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Coogan Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:28,07:29,06:58,08:03,08:33,08:49,09:19,09:49,10:19,10:52,11:22,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:24,17:54,18:24,18:54,19:24,19:51,20:21,20:51,21:21,21:51,22:21,22:51,23:21,23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siobhain McKenna Rd (Westside Pitches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:29,07:29,06:59,08:03,08:33,08:50,09:20,09:50,10:20,10:53,11:23,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:52,20:22,20:52,21:22,21:52,22:22,22:52,23:22,23:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circular Rd (Opp Currach Bui),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:29,07:30,06:59,08:04,08:34,08:51,09:21,09:51,10:21,10:54,11:24,11:56,12:26,12:56,13:26,13:56,14:26,14:56,15:26,15:56,16:26,16:56,17:26,17:56,18:26,18:56,19:26,19:53,20:23,20:53,21:23,21:53,22:23,22:53,23:23,23:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Quirke Rd (Circular Rd Junc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:31,07:31,07:01,08:06,08:36,08:53,09:23,09:53,10:23,10:57,11:27,11:58,12:28,12:58,13:28,13:58,14:28,14:58,15:28,15:58,16:28,16:58,17:28,17:58,18:28,18:58,19:28,19:55,20:25,20:55,21:25,21:55,22:25,22:55,23:25,23:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westside (Shopping Centre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:32 D,07:33 D,07:02 D,08:07 D,08:37 D,08:54 D,09:24 D,09:54 D,10:24 D,10:58 D,11:28 D,11:59 D,12:29 D,12:59 D,13:29 D,13:59 D,14:29 D,14:59 D,15:29 D,15:59 D,16:29 D,16:59 D,17:29 D,17:59 D,18:29 D,18:59 D,19:29 D,19:56 D,20:26 D,20:56 D,21:26 D,21:56 D,22:26 D,22:56 D,23:26 D,23:56 D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gort na Bro (B&Q Retail Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:35 P,06:55 P,07:15 P,07:35 P,07:55 P,08:00 P,08:15 P,08:20 P,08:35 P,08:40 P,08:55 P,09:00 P,09:15 P,09:20 P,09:40 P,10:00 P,10:20 P,10:40 P,11:00 P,11:20 P,11:40 P,12:00 P,12:20 P,12:40 P,13:00 P,13:20 P,13:40 P,14:00 P,14:20 P,14:40 P,15:00 P,15:20 P,15:40 P,15:55 P,16:00 P,16:15 P,16:20 P,16:35 P,16:40 P,16:55 P,17:00 P,17:15 P,17:20 P,17:35 P,17:40 P,17:55 P,18:00 P,18:15 P,18:20 P,18:35 P,18:40 P,19:00 P,19:20 P,19:40 P,20:00 P,20:20 P,20:40 P,21:00 P,21:20 P,21:40 P,22:00 P,22:20 P,22:40 P,23:00 P,23:20 P,23:40 P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrai de Brun (Op Garrai de Brun Ent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:36,06:56,07:16,07:36,07:56,08:01,08:18,08:21,08:38,08:41,08:58,09:01,09:16,09:21,09:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:21,15:41,15:56,16:01,16:16,16:21,16:36,16:41,16:56,17:01,17:16,17:21,17:36,17:41,17:56,18:01,18:16,18:21,18:36,18:41,19:01,19:21,19:41,20:01,20:21,20:41,21:01,21:21,21:41,22:01,22:21,22:41,23:01,23:21,23:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishop O Donnell Rd (Opp Droim Chaoin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:36,06:56,07:17,07:37,07:57,08:02,08:20,08:21,08:40,08:42,09:00,09:01,09:17,09:22,09:42,10:02,10:22,10:42,11:02,11:22,11:42,12:02,12:22,12:42,13:02,13:22,13:42,14:02,14:22,14:42,15:02,15:22,15:42,15:57,16:02,16:17,16:22,16:37,16:42,16:57,17:02,17:17,17:22,17:37,17:42,17:57,18:02,18:16,18:22,18:36,18:42,19:01,19:22,19:41,20:02,20:21,20:42,21:01,21:22,21:41,22:02,22:21,22:42,23:01,23:22,23:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Quirke Rd (Rahoon Rd Junc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:37,06:57,07:18,07:38,07:58,08:03,08:22,08:22,08:42,08:43,09:02,09:02,09:19,09:23,09:44,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:23,15:43,15:58,16:03,16:18,16:24,16:38,16:43,16:58,17:04,17:18,17:23,17:38,17:44,17:58,18:03,18:18,18:24,18:38,18:43,19:02,19:23,19:42,20:03,20:22,20:43,21:02,21:23,21:42,22:03,22:22,22:43,23:02,23:23,23:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Quirke Rd (Circular Rd Junc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:39,06:59,07:20,07:40,08:00,08:03,08:25,08:23,08:45,08:43,09:05,09:03,09:20,09:23,09:45,10:03,10:25,10:43,11:05,11:23,11:45,12:04,12:25,12:44,13:05,13:24,13:45,14:04,14:25,14:44,15:05,15:24,15:45,16:00,16:04,16:20,16:25,16:40,16:44,17:00,17:05,17:20,17:24,17:40,17:45,18:00,18:04,18:19,18:25,18:39,18:44,19:04,19:24,19:44,20:04,20:24,20:44,21:04,21:24,21:44,22:04,22:24,22:44,23:04,23:24,23:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Quirke Rd (Westside Shopp Cent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:40,07:00,07:21,07:41,08:01,08:05,08:27,08:24,08:47,08:45,09:07,09:04,09:22,09:25,09:47,10:05,10:26,10:45,11:06,11:25,11:46,12:06,12:27,12:46,13:07,13:26,13:47,14:06,14:27,14:46,15:07,15:26,15:47,16:02,16:06,16:21,16:27,16:41,16:46,17:01,17:07,17:21,17:26,17:41,17:47,18:01,18:06,18:21,18:27,18:41,18:46,19:05,19:25,19:45,20:05,20:25,20:45,21:05,21:25,21:45,22:05,22:25,22:45,23:05,23:25,23:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Quirke Rd (Corrib Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,07:01,07:22,07:42,08:02,08:06,08:28,08:25,08:48,08:46,09:08,09:05,09:23,09:26,09:48,10:06,10:27,10:46,11:07,11:26,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:27,15:47,16:02,16:07,16:22,16:27,16:42,16:47,17:02,17:07,17:22,17:27,17:42,17:47,18:02,18:07,18:22,18:27,18:42,18:47,19:06,19:26,19:46,20:06,20:26,20:46,21:06,21:26,21:46,22:06,22:26,22:46,23:06,23:26,23:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Quirke Rd (Snipe Lawn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:42,07:02,07:24,07:44,08:04,08:07,08:29,08:26,08:49,08:47,09:09,09:06,09:24,09:27,09:49,10:07,10:29,10:47,11:09,11:27,11:49,12:08,12:29,12:48,13:09,13:28,13:49,14:08,14:29,14:48,15:09,15:28,15:49,16:04,16:08,16:24,16:29,16:44,16:48,17:04,17:09,17:24,17:28,17:44,17:49,18:04,18:08,18:23,18:29,18:43,18:48,19:07,19:27,19:47,20:07,20:27,20:47,21:07,21:27,21:47,22:07,22:27,22:47,23:07,23:27,23:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Galway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:43,07:03,07:25,07:45,08:05,08:09,08:31,08:27,08:51,08:49,09:11,09:07,09:26,09:29,09:51,10:09,10:30,10:49,11:10,11:29,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:05,16:10,16:25,16:30,16:45,16:50,17:05,17:10,17:25,17:30,17:45,17:50,18:05,18:10,18:25,18:30,18:45,18:50,19:08,19:29,19:48,20:09,20:28,20:49,21:08,21:29,21:48,22:09,22:28,22:49,23:08,23:29,23:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Of Galway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:44,07:04,07:26,07:46,08:06,08:10,08:32,08:27,08:52,08:50,09:12,09:07,09:27,09:30,09:52,10:10,10:31,10:50,11:11,11:30,11:51,12:11,12:32,12:51,13:12,13:31,13:52,14:11,14:32,14:51,15:12,15:31,15:52,16:07,16:11,16:27,16:31,16:47,16:51,17:07,17:11,17:27,17:31,17:47,17:51,18:07,18:11,18:26,18:31,18:46,18:51,19:09,19:29,19:49,20:09,20:29,20:49,21:09,21:29,21:49,22:09,22:29,22:49,23:09,23:29,23:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Rd (Opp Cathedral),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:44,07:04,07:27,07:47,08:07,08:10,08:33,08:28,08:53,08:50,09:13,09:08,09:28,09:30,09:53,10:10,10:32,10:50,11:12,11:30,11:52,12:11,12:33,12:51,13:13,13:31,13:53,14:11,14:33,14:51,15:13,15:31,15:53,16:08,16:11,16:29,16:31,16:49,16:51,17:09,17:11,17:29,17:31,17:49,17:51,18:09,18:11,18:27,18:31,18:47,18:51,19:09,19:30,19:49,20:10,20:29,20:50,21:09,21:30,21:49,22:10,22:29,22:50,23:09,23:30,23:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
